Team,Home,Win,MIN,PTS,FGM,FGA,FGP,3PM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,TRB,AST,STL,BLK,TOV,PF,+/-
NYK,NYK vs. NOP,0,265,118,46,97,0.474,12,34,0.353,14,18,0.778,10,34,44,28,12,7,22,27,-5
MIN,MIN vs. POR,1,241,120,43,80,0.538,7,19,0.368,27,33,0.818,7,31,38,21,12,3,11,17,17
IND,IND @ PHX,1,240,120,48,88,0.545,11,23,0.478,13,14,0.929,8,34,42,20,9,1,6,22,23
PHX,PHX vs. IND,0,239,97,35,85,0.412,9,37,0.243,18,24,0.75,14,31,45,20,2,1,12,16,-23
LAL,LAL @ DAL,1,265,107,43,95,0.453,8,26,0.308,13,18,0.722,11,48,59,24,4,0,14,31,6
OKC,OKC @ CHA,1,239,101,39,97,0.402,8,26,0.308,15,20,0.75,19,38,57,17,8,9,9,22,10
CHI,CHI vs. DET,1,239,107,42,87,0.483,17,36,0.472,6,9,0.667,6,34,40,27,10,8,14,11,2
TOR,TOR vs. GSW,0,241,125,45,93,0.484,8,25,0.32,27,32,0.844,14,30,44,22,3,2,10,23,-2
SAS,SAS vs. DEN,1,238,112,41,79,0.519,14,27,0.519,16,18,0.889,6,37,43,23,9,3,15,17,32
LAC,LAC vs. SAC,1,240,126,46,82,0.561,12,31,0.387,22,26,0.846,5,34,39,29,11,5,15,22,21
DEN,DEN @ SAS,0,237,80,29,83,0.349,7,28,0.25,15,17,0.882,11,30,41,18,9,4,15,16,-32
BKN,BKN @ WAS,0,264,113,42,99,0.424,12,43,0.279,17,20,0.85,13,34,47,28,6,3,15,22,-6
GSW,GSW @ TOR,1,239,127,47,81,0.58,9,24,0.375,24,28,0.857,3,27,30,28,4,3,6,20,2
DAL,DAL vs. LAL,0,266,101,34,90,0.378,11,43,0.256,22,28,0.786,4,35,39,20,5,1,8,17,-6
SAC,SAC @ LAC,0,238,105,43,85,0.506,6,17,0.353,13,22,0.591,10,27,37,26,12,4,16,24,-21
DET,DET @ CHI,0,240,105,41,92,0.446,12,29,0.414,11,14,0.786,13,32,45,28,8,7,12,11,-2
WAS,WAS vs. BKN,1,265,119,46,93,0.495,10,23,0.435,17,23,0.739,6,41,47,31,10,3,15,19,6
CHA,CHA vs. OKC,0,242,91,33,83,0.398,9,28,0.321,16,23,0.696,9,41,50,16,3,7,14,15,-10
ORL,ORL @ WAS,0,240,119,41,80,0.513,12,29,0.414,25,31,0.806,12,28,40,32,7,3,15,21,-6
MIN,MIN vs. NYK,1,240,118,49,95,0.516,10,27,0.37,10,16,0.625,16,27,43,33,12,4,12,12,10
IND,IND vs. CLE,1,239,97,39,85,0.459,10,21,0.476,9,12,0.75,6,38,44,16,5,4,14,18,2
NYK,NYK @ MIN,0,240,108,45,83,0.542,12,24,0.5,6,9,0.667,9,27,36,25,6,6,16,17,-10
DEN,DEN vs. MEM,1,240,87,27,70,0.386,7,22,0.318,26,32,0.813,12,35,47,15,8,3,14,18,9
HOU,HOU @ PHX,1,241,112,39,94,0.415,15,47,0.319,19,22,0.864,14,39,53,18,11,4,11,14,17
NOP,NOP vs. POR,1,241,119,45,82,0.549,7,19,0.368,22,23,0.957,9,34,43,26,7,6,18,16,6
CLE,CLE @ IND,0,240,95,37,85,0.435,7,34,0.206,14,19,0.737,9,37,46,19,12,5,11,15,-2
POR,POR @ NOP,0,242,113,45,101,0.446,12,42,0.286,11,14,0.786,14,25,39,24,13,6,11,22,-6
MIL,MIL vs. GSW,0,241,94,36,85,0.424,11,28,0.393,11,12,0.917,8,25,33,21,9,6,12,20,-14
WAS,WAS vs. ORL,1,240,125,54,95,0.568,4,16,0.25,13,19,0.684,14,27,41,26,9,6,11,22,6
UTA,UTA @ CHA,0,241,88,28,77,0.364,12,35,0.343,20,23,0.87,8,37,45,19,5,8,14,26,-11
GSW,GSW @ MIL,1,240,108,44,79,0.557,5,15,0.333,15,18,0.833,10,33,43,28,7,3,11,13,14
ATL,ATL vs. BKN,0,241,105,37,80,0.463,11,28,0.393,20,26,0.769,8,38,46,21,6,3,18,25,-5
PHX,PHX vs. HOU,0,240,95,37,80,0.463,14,33,0.424,7,9,0.778,4,34,38,27,5,3,19,19,-17
CHA,CHA vs. UTA,1,241,99,32,78,0.41,9,27,0.333,26,34,0.765,8,38,46,17,8,2,12,19,11
BKN,BKN @ ATL,1,240,110,40,87,0.46,13,34,0.382,17,26,0.654,13,30,43,29,8,1,14,24,5
MEM,MEM @ DEN,0,241,78,30,77,0.39,7,24,0.292,11,14,0.786,8,28,36,17,8,5,14,28,-9
SAC,SAC vs. LAC,0,240,115,42,85,0.494,8,26,0.308,23,28,0.821,10,34,44,23,9,3,15,25,-6
LAL,LAL vs. SAS,1,240,93,36,87,0.414,13,38,0.342,8,14,0.571,12,35,47,22,15,4,15,17,12
LAC,LAC @ SAC,1,241,121,43,84,0.512,13,31,0.419,22,30,0.733,8,31,39,28,9,5,17,19,6
BOS,BOS @ PHI,1,240,114,43,89,0.483,13,35,0.371,15,19,0.789,11,35,46,24,11,2,18,18,11
PHI,PHI vs. BOS,0,240,103,38,82,0.463,11,28,0.393,16,18,0.889,3,34,37,20,12,4,19,19,-11
CLE,CLE @ TOR,0,241,99,34,89,0.382,6,26,0.231,25,30,0.833,9,26,35,18,3,4,9,16,-30
TOR,TOR vs. CLE,1,242,133,53,106,0.5,18,42,0.429,9,13,0.692,18,45,63,31,3,7,9,25,30
SAS,SAS @ LAL,0,241,81,31,76,0.408,8,20,0.4,11,15,0.733,7,38,45,21,6,5,20,15,-12
CHA,CHA vs. DAL,0,241,111,43,84,0.512,10,26,0.385,15,30,0.5,4,39,43,16,6,5,11,22,-4
DET,DET @ BKN,1,240,114,48,93,0.516,10,21,0.476,8,12,0.667,11,43,54,24,10,4,13,14,34
ORL,ORL @ MIL,0,240,103,39,90,0.433,8,29,0.276,17,18,0.944,8,26,34,26,6,4,8,21,-7
GSW,GSW vs. LAC,0,239,106,38,79,0.481,8,23,0.348,22,26,0.846,4,29,33,26,9,6,16,21,-19
WAS,WAS vs. UTA,0,241,104,41,78,0.526,10,25,0.4,12,17,0.706,9,36,45,25,8,1,23,17,-3
MIA,MIA @ IND,1,240,114,43,81,0.531,13,30,0.433,15,21,0.714,6,31,37,25,6,6,15,25,8
MIN,MIN vs. OKC,1,241,104,39,80,0.488,7,20,0.35,19,27,0.704,11,34,45,22,11,5,14,22,16
DAL,DAL @ CHA,1,240,115,39,83,0.47,15,36,0.417,22,28,0.786,3,36,39,23,7,7,8,22,4
UTA,UTA @ WAS,1,240,107,43,92,0.467,11,33,0.333,10,13,0.769,11,28,39,23,15,3,12,17,3
HOU,HOU vs. POR,1,240,121,45,100,0.45,12,38,0.316,19,25,0.76,17,32,49,25,7,5,13,30,9
NOP,NOP @ MEM,0,240,102,34,77,0.442,11,35,0.314,23,34,0.676,9,31,40,20,5,7,12,26,-3
POR,POR @ HOU,0,241,112,40,83,0.482,9,26,0.346,23,32,0.719,6,34,40,21,5,6,12,26,-9
OKC,OKC @ MIN,0,238,88,32,80,0.4,6,25,0.24,18,24,0.75,10,31,41,13,9,2,18,22,-16
MIL,MIL vs. ORL,1,241,110,45,82,0.549,4,19,0.211,16,25,0.64,11,36,47,20,4,9,14,21,7
IND,IND vs. MIA,0,239,106,43,87,0.494,1,18,0.056,19,29,0.655,12,33,45,13,7,3,14,23,-8
ATL,ATL @ DEN,1,239,110,40,80,0.5,12,27,0.444,18,18,1,6,38,44,25,6,4,16,23,13
CHI,CHI @ NYK,1,289,122,45,98,0.459,15,33,0.455,17,20,0.85,10,38,48,21,10,5,16,19,3
NYK,NYK vs. CHI,0,290,119,48,96,0.5,10,22,0.455,13,21,0.619,11,40,51,24,5,9,18,20,-3
MEM,MEM vs. NOP,1,241,105,37,88,0.42,5,19,0.263,26,32,0.813,14,36,50,21,7,5,9,26,3
BKN,BKN vs. DET,0,240,80,27,74,0.365,12,37,0.324,14,15,0.933,2,33,35,19,11,2,17,11,-34
DEN,DEN vs. ATL,0,240,97,38,95,0.4,9,37,0.243,12,20,0.6,14,26,40,27,13,6,12,18,-13
LAC,LAC @ GSW,1,240,125,46,94,0.489,11,24,0.458,22,28,0.786,11,35,46,24,9,3,14,19,19
SAC,SAC @ LAL,0,239,86,30,87,0.345,8,21,0.381,18,27,0.667,10,33,43,15,15,4,16,19,-8
MIA,MIA @ TOR,1,239,90,39,97,0.402,4,22,0.182,8,10,0.8,20,44,64,18,2,14,13,19,1
LAL,LAL vs. SAC,1,239,99,37,77,0.481,12,35,0.343,13,21,0.619,9,46,55,30,12,4,25,23,13
POR,POR @ OKC,1,240,117,43,81,0.531,10,23,0.435,21,26,0.808,8,34,42,19,10,2,15,20,11
ORL,ORL @ DAL,0,239,99,36,79,0.456,11,29,0.379,16,22,0.727,9,32,41,27,2,4,13,23,-15
TOR,TOR vs. MIA,0,240,89,35,90,0.389,7,21,0.333,12,15,0.8,7,30,37,15,7,12,5,16,-1
DAL,DAL vs. ORL,1,241,114,43,83,0.518,9,26,0.346,19,22,0.864,5,33,38,27,6,2,4,22,15
OKC,OKC vs. POR,0,240,106,37,84,0.44,13,31,0.419,19,26,0.731,11,27,38,20,6,4,14,17,-11
LAC,LAC vs. ATL,1,240,108,38,85,0.447,9,18,0.5,23,34,0.676,14,33,47,16,10,9,16,25,1
NOP,NOP vs. DET,1,241,112,46,82,0.561,6,22,0.273,14,21,0.667,9,32,41,31,7,9,16,18,3
SAS,SAS @ SAC,1,239,107,44,90,0.489,11,26,0.423,8,13,0.615,8,29,37,23,11,4,10,12,7
DET,DET @ NOP,0,239,109,41,93,0.441,8,27,0.296,19,22,0.864,12,27,39,22,5,4,12,18,-7
DEN,DEN @ GSW,0,239,114,47,95,0.495,8,19,0.421,12,16,0.75,13,26,39,30,8,3,11,16,-10
IND,IND vs. MIL,1,241,109,44,79,0.557,7,22,0.318,14,20,0.7,8,32,40,30,9,5,16,23,13
TOR,TOR @ BKN,1,265,114,43,101,0.426,10,34,0.294,18,23,0.783,8,43,51,19,7,12,15,27,1
MIN,MIN vs. CLE,1,239,127,52,100,0.52,10,31,0.323,13,17,0.765,15,41,56,30,6,2,5,17,28
CLE,CLE @ MIN,0,241,99,37,84,0.44,13,38,0.342,12,16,0.75,8,29,37,26,0,4,13,15,-28
HOU,HOU @ CHI,1,240,116,39,86,0.453,20,54,0.37,18,24,0.75,11,40,51,28,6,6,16,14,9
GSW,GSW vs. DEN,1,239,124,48,85,0.565,13,30,0.433,15,21,0.714,10,33,43,33,7,10,16,15,12
SAC,SAC vs. SAS,0,240,100,40,82,0.488,8,23,0.348,12,16,0.75,8,37,45,19,6,1,18,14,-7
CHI,CHI vs. HOU,0,239,107,40,86,0.465,12,28,0.429,15,18,0.833,3,34,37,26,6,5,11,17,-9
BKN,BKN vs. TOR,0,266,113,39,100,0.39,12,33,0.364,23,28,0.821,11,44,55,22,8,2,16,27,-1
ATL,ATL @ LAC,0,239,107,38,96,0.396,10,37,0.27,21,29,0.724,19,37,56,20,9,8,14,26,-1
MIL,MIL @ IND,0,240,96,34,74,0.459,7,27,0.259,21,27,0.778,5,29,34,18,11,4,17,24,-13
MIA,MIA vs. UTA,1,240,103,40,83,0.482,9,29,0.31,14,20,0.7,8,29,37,21,6,6,8,16,1
LAL,LAL vs. ATL,1,240,132,48,86,0.558,16,36,0.444,20,25,0.8,6,43,49,32,13,6,18,25,19
UTA,UTA @ MIA,0,240,102,37,82,0.451,10,32,0.313,18,20,0.9,8,36,44,15,6,5,11,18,-1
ATL,ATL @ LAL,0,240,113,41,94,0.436,12,34,0.353,19,23,0.826,10,27,37,22,5,4,15,16,-19
POR,POR vs. SAS,1,240,111,48,92,0.522,8,23,0.348,7,10,0.7,9,29,38,19,7,5,9,24,1
SAS,SAS @ POR,0,241,110,40,81,0.494,11,23,0.478,19,26,0.731,10,32,42,26,4,5,14,16,-1
NYK,NYK @ DAL,1,239,100,38,83,0.458,6,16,0.375,18,20,0.9,10,49,59,22,4,6,16,23,4
PHX,PHX vs. OKC,1,241,114,39,88,0.443,17,39,0.436,19,23,0.826,12,31,43,24,6,6,7,19,14
DAL,DAL vs. NYK,0,241,96,35,92,0.38,6,24,0.25,20,24,0.833,9,31,40,22,7,3,7,20,-4
OKC,OKC @ PHX,0,240,100,40,86,0.465,8,27,0.296,12,21,0.571,8,34,42,23,7,7,11,17,-14
MIL,MIL @ WAS,1,240,110,39,80,0.488,7,22,0.318,25,30,0.833,10,35,45,20,11,6,15,26,7
WAS,WAS vs. MIL,0,240,103,37,78,0.474,8,21,0.381,21,29,0.724,4,30,34,25,6,6,14,22,-7
GSW,GSW @ LAC,1,242,121,39,94,0.415,13,39,0.333,30,37,0.811,14,40,54,31,13,10,16,25,16
CHI,CHI @ IND,0,239,86,30,80,0.375,10,32,0.313,16,20,0.8,9,25,34,15,4,6,16,15,-39
NOP,NOP @ MIN,0,242,98,33,78,0.423,6,29,0.207,26,28,0.929,7,31,38,20,5,6,15,19,-18
MIN,MIN vs. NOP,1,241,116,44,90,0.489,9,18,0.5,19,21,0.905,13,34,47,26,10,5,9,20,18
BOS,BOS @ BKN,1,239,87,37,98,0.378,5,18,0.278,8,15,0.533,12,32,44,12,8,13,4,17,2
ORL,ORL vs. CLE,0,241,127,49,98,0.5,14,37,0.378,15,22,0.682,14,32,46,29,5,2,19,28,-4
LAC,LAC vs. GSW,0,239,105,39,91,0.429,3,11,0.273,24,30,0.8,10,35,45,19,10,7,18,25,-16
BKN,BKN vs. BOS,0,242,85,30,91,0.33,6,31,0.194,19,22,0.864,12,43,55,11,2,11,16,14,-2
SAC,SAC vs. DEN,1,239,106,42,94,0.447,9,25,0.36,13,17,0.765,10,29,39,21,16,4,9,22,8
CLE,CLE @ ORL,1,239,131,47,94,0.5,15,34,0.441,22,31,0.71,14,31,45,25,11,2,17,26,4
IND,IND vs. CHI,1,240,125,48,86,0.558,15,31,0.484,14,18,0.778,10,39,49,24,9,4,12,19,39
HOU,HOU @ DET,0,240,101,38,90,0.422,15,47,0.319,10,11,0.909,12,30,42,29,5,4,13,20,-7
DET,DET vs. HOU,1,240,108,38,75,0.507,12,25,0.48,20,27,0.741,5,30,35,21,8,4,11,15,7
DEN,DEN @ SAC,0,239,98,35,76,0.461,13,34,0.382,15,21,0.714,8,38,46,20,2,6,25,17,-8
MIL,MIL vs. TOR,0,239,110,41,77,0.532,7,17,0.412,21,29,0.724,5,23,28,26,4,4,11,23,-19
CHI,CHI @ DAL,1,241,127,44,78,0.564,14,28,0.5,25,31,0.806,8,34,42,25,9,3,18,19,3
PHX,PHX @ SAS,0,240,89,35,83,0.422,7,30,0.233,12,18,0.667,9,37,46,22,11,2,23,23,-14
NYK,NYK @ MIA,0,265,103,39,80,0.488,5,13,0.385,20,23,0.87,8,31,39,14,11,7,19,26,-4
MIA,MIA vs. NYK,1,264,107,38,94,0.404,12,42,0.286,19,20,0.95,15,29,44,24,10,5,14,19,4
PHI,PHI vs. DET,1,239,114,44,90,0.489,14,30,0.467,12,13,0.923,13,42,55,29,5,4,12,17,36
ATL,ATL @ POR,0,239,89,30,83,0.361,8,26,0.308,21,25,0.84,11,28,39,14,7,5,16,16,-21
DAL,DAL vs. CHI,0,239,124,49,92,0.533,14,32,0.438,12,17,0.706,7,27,34,33,11,2,13,24,-3
POR,POR vs. ATL,1,240,110,43,80,0.538,13,30,0.433,11,14,0.786,6,38,44,30,11,5,15,20,21
LAL,LAL vs. CHA,0,240,94,38,94,0.404,9,36,0.25,9,12,0.75,12,34,46,24,7,3,16,19,-14
UTA,UTA @ DEN,0,241,91,38,84,0.452,12,33,0.364,3,6,0.5,8,45,53,26,7,5,17,16,-8
WAS,WAS @ MEM,1,240,102,33,84,0.393,10,27,0.37,26,34,0.765,12,36,48,21,7,7,13,23,2
MEM,MEM vs. WAS,0,241,100,35,86,0.407,10,30,0.333,20,26,0.769,11,35,46,20,6,9,16,25,-2
DEN,DEN vs. UTA,1,240,99,38,86,0.442,14,35,0.4,9,15,0.6,4,33,37,24,9,1,10,11,8
SAS,SAS vs. PHX,1,239,103,41,87,0.471,11,30,0.367,10,18,0.556,7,37,44,21,15,6,15,16,14
DET,DET @ PHI,0,240,78,30,78,0.385,7,22,0.318,11,19,0.579,6,28,34,20,9,4,12,14,-36
MIN,MIN @ BOS,0,240,84,28,76,0.368,7,23,0.304,21,28,0.75,9,34,43,15,6,5,12,15,-7
TOR,TOR @ MIL,1,241,129,48,86,0.558,10,33,0.303,23,28,0.821,12,31,43,25,9,5,11,22,19
CHA,CHA @ LAL,1,241,108,42,99,0.424,12,33,0.364,12,16,0.75,16,40,56,26,10,3,14,17,14
BOS,BOS vs. MIN,1,242,91,38,94,0.404,6,36,0.167,9,13,0.692,17,39,56,24,6,4,10,22,7
HOU,HOU vs. GSW,0,240,114,42,89,0.472,17,50,0.34,13,22,0.591,6,32,38,20,7,3,10,17,-10
OKC,OKC @ LAC,1,240,127,51,95,0.537,15,34,0.441,10,14,0.714,11,35,46,23,4,6,13,23,12
GSW,GSW @ HOU,1,241,124,48,87,0.552,13,30,0.433,15,20,0.75,6,39,45,35,6,6,12,18,12
LAC,LAC vs. OKC,0,240,117,45,100,0.45,9,30,0.3,18,23,0.783,15,30,45,29,5,2,10,15,-10
ORL,ORL vs. HOU,0,239,98,35,91,0.385,6,31,0.194,22,25,0.88,9,39,48,16,7,3,12,19,-18
MIN,MIN @ BKN,0,240,97,36,80,0.45,1,11,0.091,24,30,0.8,7,25,32,10,9,4,8,12,-1
SAS,SAS @ PHI,0,241,106,39,87,0.448,8,25,0.32,20,23,0.87,12,31,43,15,4,4,15,25,-6
OKC,OKC @ LAL,1,240,133,56,93,0.602,14,30,0.467,7,9,0.778,7,37,44,36,12,5,9,17,37
CLE,CLE @ BOS,0,242,88,31,89,0.348,8,32,0.25,18,18,1,9,39,48,16,6,7,14,17,-14
HOU,HOU @ ORL,1,240,116,42,89,0.472,15,34,0.441,17,21,0.81,9,42,51,25,6,3,15,19,18
DAL,DAL vs. GSW,0,240,122,43,90,0.478,19,43,0.442,17,22,0.773,7,33,40,29,6,2,12,17,-3
NYK,NYK @ WAS,0,241,103,41,86,0.477,7,19,0.368,14,18,0.778,8,28,36,19,7,5,14,20,-18
PHI,PHI vs. SAS,1,240,112,36,80,0.45,7,22,0.318,33,43,0.767,13,32,45,23,10,5,13,21,6
NOP,NOP @ UTA,1,240,108,41,82,0.5,14,30,0.467,12,12,1,7,35,42,23,8,2,20,18,10
UTA,UTA vs. NOP,0,240,98,38,84,0.452,7,32,0.219,15,17,0.882,6,30,36,23,12,1,14,21,-10
LAL,LAL vs. OKC,0,240,96,38,92,0.413,11,33,0.333,9,15,0.6,16,29,45,24,5,4,17,10,-37
BKN,BKN vs. MIN,1,241,98,37,72,0.514,14,30,0.467,10,11,0.909,4,34,38,22,3,3,19,23,1
TOR,TOR @ CHI,1,240,124,45,92,0.489,15,38,0.395,19,19,1,7,42,49,23,9,5,11,20,9
MIA,MIA vs. DET,1,241,111,43,84,0.512,17,34,0.5,8,11,0.727,7,34,41,29,6,3,12,16,7
BOS,BOS vs. CLE,1,242,102,41,92,0.446,12,36,0.333,8,11,0.727,9,43,52,27,9,2,15,20,14
DET,DET @ MIA,0,241,104,41,86,0.477,9,24,0.375,13,16,0.813,5,30,35,21,4,2,9,14,-7
CHI,CHI vs. TOR,0,241,115,43,93,0.462,13,33,0.394,16,19,0.842,9,34,43,29,5,2,13,20,-9
IND,IND @ MIL,0,240,101,41,84,0.488,3,15,0.2,16,19,0.842,8,22,30,24,7,2,14,20,-21
PHX,PHX @ DEN,0,242,111,39,92,0.424,13,35,0.371,20,28,0.714,14,21,35,26,12,1,12,18,-23
GSW,GSW @ DAL,1,240,125,48,91,0.527,13,32,0.406,16,19,0.842,7,39,46,36,8,7,14,21,3
MIL,MIL vs. IND,1,241,122,44,75,0.587,9,17,0.529,25,28,0.893,6,28,34,33,8,5,16,23,21
WAS,WAS vs. NYK,1,240,121,48,81,0.593,9,23,0.391,16,26,0.615,6,36,42,27,9,5,12,21,18
DEN,DEN vs. PHX,1,240,134,51,82,0.622,12,27,0.444,20,22,0.909,8,40,48,35,8,9,20,16,23
ATL,ATL @ PHX,0,240,103,36,87,0.414,10,31,0.323,21,25,0.84,17,23,40,18,11,3,16,22,-1
CHA,CHA @ SAC,1,240,131,51,89,0.573,15,32,0.469,14,18,0.778,5,25,30,25,7,3,3,14,20
SAC,SAC vs. CHA,0,240,111,45,87,0.517,7,17,0.412,14,18,0.778,16,31,47,22,1,2,15,19,-20
MEM,MEM @ LAC,0,240,105,38,79,0.481,8,26,0.308,21,33,0.636,10,28,38,18,10,2,14,29,-8
NYK,NYK vs. SAS,0,240,91,35,87,0.402,7,22,0.318,14,18,0.778,12,38,50,21,5,7,14,23,-9
LAC,LAC vs. MEM,1,241,113,39,71,0.549,9,23,0.391,26,31,0.839,4,30,34,23,5,3,19,24,8
CLE,CLE vs. POR,1,241,127,43,83,0.518,13,32,0.406,28,37,0.757,8,32,40,28,11,4,10,17,17
SAS,SAS @ NYK,1,241,100,31,82,0.378,10,27,0.37,28,34,0.824,14,36,50,18,11,5,8,17,9
PHX,PHX vs. ATL,1,240,104,39,77,0.506,7,22,0.318,19,26,0.731,11,36,47,24,7,4,21,22,1
POR,POR @ CLE,0,241,110,42,90,0.467,13,32,0.406,13,19,0.684,13,30,43,25,5,5,15,29,-17
TOR,TOR vs. MIL,1,264,131,45,91,0.495,14,33,0.424,27,33,0.818,6,34,40,25,8,8,12,20,4
MIL,MIL @ TOR,0,265,127,44,93,0.473,13,27,0.481,26,28,0.929,10,33,43,27,9,3,14,23,-4
POR,POR @ CHI,1,266,124,47,108,0.435,14,33,0.424,16,18,0.889,12,38,50,25,7,5,8,16,4
CHI,CHI vs. POR,0,265,120,45,104,0.433,11,27,0.407,19,23,0.826,15,43,58,28,5,7,12,21,-4
BKN,BKN vs. ORL,1,240,98,36,82,0.439,9,25,0.36,17,23,0.739,10,42,52,17,7,10,13,22,3
MIN,MIN vs. LAL,1,239,114,40,81,0.494,7,20,0.35,27,30,0.9,7,34,41,26,14,5,17,24,18
LAL,LAL @ MIN,0,240,96,34,76,0.447,8,26,0.308,20,29,0.69,9,28,37,18,12,4,24,25,-18
ORL,ORL @ BKN,0,241,95,35,96,0.365,6,31,0.194,19,25,0.76,19,33,52,16,5,5,12,18,-3
PHX,PHX vs. PHI,0,240,110,37,88,0.42,10,27,0.37,26,34,0.765,12,23,35,18,9,4,16,29,-13
BOS,BOS vs. BKN,1,241,108,39,79,0.494,14,33,0.424,16,25,0.64,8,42,50,21,7,8,17,22,3
CHA,CHA @ LAC,0,241,98,36,93,0.387,11,33,0.333,15,19,0.789,15,32,47,23,10,3,17,21,-8
DAL,DAL @ OKC,1,240,116,46,89,0.517,15,34,0.441,9,14,0.643,8,28,36,26,5,5,7,18,3
CHI,CHI @ WAS,0,240,110,42,92,0.457,8,35,0.229,18,22,0.818,10,36,46,24,6,1,12,22,-4
PHI,PHI @ PHX,1,240,123,43,77,0.558,10,24,0.417,27,34,0.794,11,33,44,24,11,7,21,32,13
LAL,LAL @ HOU,0,289,142,53,105,0.505,10,25,0.4,26,37,0.703,15,39,54,31,6,4,14,32,-6
HOU,HOU vs. LAL,1,290,148,49,106,0.462,18,52,0.346,32,39,0.821,15,28,43,29,7,9,11,33,6
WAS,WAS vs. CHI,1,240,114,43,93,0.462,16,36,0.444,12,17,0.706,12,35,47,27,6,8,10,24,4
BKN,BKN @ BOS,0,240,105,39,95,0.411,11,36,0.306,16,19,0.842,11,34,45,25,5,4,9,19,-3
LAC,LAC vs. CHA,1,241,106,36,76,0.474,10,28,0.357,24,27,0.889,6,36,42,24,9,5,16,21,8
MIN,MIN @ IND,1,241,107,41,86,0.477,4,19,0.211,21,25,0.84,13,31,44,20,11,8,7,20,17
SAC,SAC vs. MEM,0,241,96,37,86,0.43,9,24,0.375,13,25,0.52,12,30,42,20,6,2,16,21,-18
OKC,OKC vs. DAL,0,241,113,43,89,0.483,10,32,0.313,17,23,0.739,11,34,45,18,4,4,11,20,-3
IND,IND vs. MIN,0,240,90,33,85,0.388,10,25,0.4,14,18,0.778,13,30,43,20,3,5,16,18,-17
MEM,MEM @ SAC,1,240,114,41,76,0.539,14,30,0.467,18,24,0.75,6,38,44,22,11,8,16,21,18
UTA,UTA vs. CLE,1,240,104,38,82,0.463,10,31,0.323,18,21,0.857,5,38,43,24,12,4,11,24,3
PHI,PHI @ DEN,1,240,107,45,93,0.484,8,24,0.333,9,10,0.9,7,34,41,34,6,3,13,25,5
POR,POR @ ATL,0,241,89,36,85,0.424,7,25,0.28,10,13,0.769,15,31,46,19,9,8,20,18,-15
ORL,ORL vs. MIA,0,241,111,44,81,0.543,12,27,0.444,11,15,0.733,9,28,37,31,2,9,12,20,-6
MEM,MEM @ GSW,0,242,128,49,94,0.521,15,21,0.714,15,22,0.682,13,25,38,29,6,0,7,22,-13
MIA,MIA @ ORL,1,241,117,45,88,0.511,12,24,0.5,15,18,0.833,11,29,40,24,6,2,8,17,6
ATL,ATL vs. POR,1,241,104,40,89,0.449,14,30,0.467,10,15,0.667,13,32,45,29,12,3,13,16,15
CLE,CLE @ UTA,0,239,101,34,81,0.42,12,40,0.3,21,26,0.808,9,37,46,20,6,5,15,19,-3
NYK,NYK @ NOP,1,241,105,41,94,0.436,5,19,0.263,18,21,0.857,9,42,51,24,6,7,6,24,2
DET,DET vs. SAS,1,238,93,36,81,0.444,8,24,0.333,13,16,0.813,6,39,45,22,10,1,11,11,14
SAS,SAS @ DET,0,242,79,31,84,0.369,5,26,0.192,12,13,0.923,10,36,46,18,8,5,14,13,-14
DEN,DEN vs. PHI,0,240,102,35,87,0.402,7,32,0.219,25,34,0.735,10,38,48,18,10,9,13,12,-5
NOP,NOP vs. NYK,0,240,103,38,84,0.452,6,26,0.231,21,27,0.778,4,44,48,24,3,5,10,19,-2
GSW,GSW vs. MEM,1,240,141,50,85,0.588,18,33,0.545,23,25,0.92,7,31,38,37,3,6,10,17,13
MIL,MIL @ OKC,1,239,97,40,85,0.471,9,29,0.31,8,17,0.471,12,31,43,26,9,7,9,23,2
PHX,PHX @ SAC,1,240,111,41,85,0.482,13,30,0.433,16,24,0.667,16,31,47,26,5,5,10,19,10
IND,IND @ CHI,0,239,107,43,93,0.462,7,22,0.318,14,20,0.7,11,32,43,22,10,6,10,15,-12
WAS,WAS vs. HOU,1,241,121,47,88,0.534,18,36,0.5,9,12,0.75,10,35,45,23,12,5,16,15,18
LAC,LAC @ LAL,1,240,121,42,86,0.488,9,32,0.281,28,34,0.824,15,34,49,23,7,6,13,21,16
MIA,MIA vs. BKN,0,239,87,30,89,0.337,3,26,0.115,24,31,0.774,12,31,43,12,9,3,11,18,-24
SAC,SAC vs. PHX,0,241,101,37,80,0.463,8,23,0.348,19,23,0.826,8,29,37,23,6,2,9,23,-10
LAL,LAL vs. LAC,0,240,106,46,94,0.489,3,19,0.158,11,16,0.688,11,24,35,25,7,3,12,22,-15
DAL,DAL @ NOP,1,241,128,46,83,0.554,22,39,0.564,14,18,0.778,5,38,43,27,5,4,15,23,8
ATL,ATL @ TOR,0,241,98,38,88,0.432,9,24,0.375,13,20,0.65,14,34,48,21,6,7,18,15,-13
NOP,NOP vs. DAL,0,241,120,42,85,0.494,8,31,0.258,28,32,0.875,4,27,31,28,8,6,8,19,-8
CHA,CHA @ GSW,1,240,111,41,89,0.461,6,20,0.3,23,34,0.676,13,34,47,27,12,6,10,10,11
TOR,TOR vs. ATL,1,240,111,46,105,0.438,13,37,0.351,6,8,0.75,19,32,51,22,9,15,11,22,13
