Team,Home,Win,MIN,PTS,FGM,FGA,FGP,3PM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,TRB,AST,STL,BLK,TOV,PF,+/-
OKC,OKC vs. SAS,1,241,104,39,85,0.459,10,28,0.357,16,24,0.667,11,38,49,24,8,4,15,13,10
GSW,GSW @ POR,0,241,108,38,78,0.487,12,28,0.429,20,24,0.833,6,27,33,20,5,3,10,20,-17
NYK,NYK @ MIL,0,239,112,47,98,0.48,7,28,0.25,11,14,0.786,11,28,39,24,6,5,11,26,-8
NOP,NOP vs. WAS,0,241,97,38,82,0.463,6,20,0.3,15,18,0.833,2,36,38,23,3,10,15,18,-19
ATL,ATL @ IND,0,238,87,34,82,0.415,10,33,0.303,9,10,0.9,6,29,35,21,11,4,18,13,-25
CHI,CHI @ DET,0,240,83,33,93,0.355,9,31,0.29,8,10,0.8,10,32,42,19,11,0,13,19,-16
CLE,CLE @ LAC,0,242,102,39,87,0.448,12,36,0.333,12,18,0.667,8,32,40,22,10,7,12,28,-14
LAC,LAC vs. CLE,1,240,116,43,89,0.483,11,28,0.393,19,30,0.633,13,39,52,25,6,3,13,16,14
SAC,SAC vs. ORL,1,241,94,36,83,0.434,9,25,0.36,13,15,0.867,13,37,50,24,7,3,16,21,6
DEN,DEN vs. LAL,1,240,125,42,83,0.506,15,31,0.484,26,30,0.867,7,29,36,30,10,6,12,16,9
WAS,WAS @ NOP,1,237,116,46,96,0.479,9,26,0.346,15,20,0.75,10,39,49,34,10,4,12,16,19
LAL,LAL @ DEN,0,241,116,45,92,0.489,14,35,0.4,12,16,0.75,12,32,44,25,8,6,15,23,-9
UTA,UTA @ MEM,1,241,95,33,74,0.446,13,32,0.406,16,22,0.727,8,40,48,26,10,8,17,17,17
POR,POR vs. GSW,1,240,125,44,89,0.494,16,39,0.41,21,27,0.778,14,32,46,21,4,2,11,17,17
IND,IND vs. ATL,1,239,112,45,91,0.495,14,28,0.5,8,10,0.8,9,40,49,21,11,3,16,16,25
DET,DET vs. CHI,1,240,99,38,81,0.469,9,27,0.333,14,18,0.778,11,39,50,22,8,9,16,13,16
TOR,TOR vs. HOU,1,240,108,41,85,0.482,15,38,0.395,11,14,0.786,12,30,42,22,7,2,16,20,3
MIL,MIL vs. NYK,1,239,120,41,73,0.562,8,18,0.444,30,39,0.769,6,36,42,29,8,6,14,16,8
MEM,MEM vs. UTA,0,239,78,31,83,0.373,6,22,0.273,10,14,0.714,10,29,39,16,4,5,15,22,-17
ORL,ORL @ SAC,0,240,88,33,78,0.423,9,29,0.31,13,16,0.813,5,29,34,17,7,4,14,17,-6
HOU,HOU @ TOR,0,238,105,40,81,0.494,9,27,0.333,16,23,0.696,7,29,36,15,9,3,13,13,-3
OKC,OKC vs. PHX,1,241,115,42,80,0.525,13,33,0.394,18,27,0.667,6,43,49,21,6,11,18,20,28
MIA,MIA vs. PHI,1,241,108,42,89,0.472,14,26,0.538,10,18,0.556,6,43,49,26,10,8,14,20,9
CHA,CHA vs. BKN,0,241,111,41,85,0.482,4,19,0.211,25,30,0.833,6,30,36,19,5,5,13,21,-14
PHI,PHI @ MIA,0,239,99,34,86,0.395,15,37,0.405,16,21,0.762,9,37,46,28,9,4,18,20,-9
GSW,GSW vs. SAS,1,239,110,41,95,0.432,8,30,0.267,20,23,0.87,12,37,49,30,6,12,10,18,3
MIN,MIN vs. BOS,0,240,109,44,94,0.468,12,31,0.387,9,13,0.692,13,34,47,24,3,3,12,22,-8
PHX,PHX @ OKC,0,241,87,31,92,0.337,9,37,0.243,16,18,0.889,7,36,43,15,9,4,13,25,-28
BOS,BOS @ MIN,1,240,117,43,87,0.494,11,32,0.344,20,27,0.741,9,37,46,28,7,2,11,17,8
SAS,SAS @ GSW,0,239,107,43,95,0.453,6,22,0.273,15,18,0.833,10,35,45,29,7,3,12,20,-3
BKN,BKN @ CHA,1,240,125,47,92,0.511,11,32,0.344,20,22,0.909,9,34,43,30,7,7,10,27,14
CHI,CHI vs. MEM,1,239,119,42,79,0.532,11,29,0.379,24,32,0.75,9,32,41,25,10,1,20,22,9
TOR,TOR @ DET,1,264,121,45,101,0.446,12,40,0.3,19,21,0.905,11,36,47,33,9,7,9,20,2
LAL,LAL vs. ORL,1,241,108,43,88,0.489,11,33,0.333,11,12,0.917,7,32,39,27,7,3,14,16,1
DET,DET vs. TOR,0,265,119,44,90,0.489,13,26,0.5,18,23,0.783,9,42,51,27,2,7,16,23,-2
MIL,MIL vs. HOU,0,240,99,38,83,0.458,9,28,0.321,14,19,0.737,6,32,38,21,9,3,13,22,-11
IND,IND vs. UTA,0,240,84,34,88,0.386,3,23,0.13,13,17,0.765,14,31,45,12,9,3,12,17,-20
ORL,ORL @ LAL,0,240,107,42,84,0.5,12,28,0.429,11,19,0.579,8,35,43,31,5,4,16,22,-1
HOU,HOU @ MIL,1,242,110,39,82,0.476,14,40,0.35,18,27,0.667,12,35,47,22,9,5,16,21,11
DEN,DEN vs. CLE,0,239,108,42,86,0.488,10,27,0.37,14,18,0.778,14,37,51,22,7,2,21,16,-5
MEM,MEM @ CHI,0,241,110,40,82,0.488,10,29,0.345,20,25,0.8,9,24,33,24,12,3,14,26,-9
NOP,NOP @ SAC,1,240,114,47,83,0.566,11,26,0.423,9,9,1,5,35,40,26,6,7,16,22,13
UTA,UTA @ IND,1,240,104,41,80,0.513,11,31,0.355,11,16,0.688,7,35,42,30,9,5,12,18,20
CLE,CLE @ DEN,1,242,113,44,87,0.506,13,29,0.448,12,18,0.667,7,28,35,25,10,4,10,19,5
SAC,SAC vs. NOP,0,239,101,39,93,0.419,9,28,0.321,14,17,0.824,14,25,39,20,4,5,9,16,-13
CHA,CHA vs. PHI,0,239,114,40,80,0.5,11,29,0.379,23,31,0.742,8,25,33,26,7,5,10,12,-14
